inspection_id,site_id,asset_id,org_id,inspector_id,date_time,score,status,notes
INSP-0046,SITE-0006,ASSET-0046,ORG-0001,USER-0006,2026-06-07T02:00:00Z,66,Completed,Dust and livestock access check
INSP-0047,SITE-0007,ASSET-0047,ORG-0002,USER-0007,2026-06-07T05:00:00Z,67,Completed,Guard rail and culvert walkabout
INSP-0048,SITE-0008,ASSET-0048,ORG-0003,USER-0008,2026-06-07T08:00:00Z,68,Completed,Dust and livestock access check
INSP-0049,SITE-0009,ASSET-0049,ORG-0004,USER-0009,2026-06-07T11:00:00Z,69,Open,Guard rail and culvert walkabout
INSP-0050,SITE-0010,ASSET-0050,ORG-0005,USER-0010,2026-06-07T14:00:00Z,70,Completed,Dust and livestock access check
INSP-0051,SITE-0001,ASSET-0001,ORG-0001,USER-0011,2026-06-07T17:00:00Z,71,Completed,Guard rail and culvert walkabout
INSP-0052,SITE-0002,ASSET-0002,ORG-0002,USER-0012,2026-06-07T20:00:00Z,72,Completed,Dust and livestock access check
INSP-0053,SITE-0003,ASSET-0003,ORG-0003,USER-0013,2026-06-07T23:00:00Z,73,Completed,Guard rail and culvert walkabout
INSP-0054,SITE-0004,ASSET-0004,ORG-0004,USER-0014,2026-06-08T02:00:00Z,74,Completed,Dust and livestock access check
INSP-0055,SITE-0005,ASSET-0005,ORG-0005,USER-0015,2026-06-08T05:00:00Z,75,Completed,Guard rail and culvert walkabout
INSP-0056,SITE-0006,ASSET-0006,ORG-0001,USER-0016,2026-06-08T08:00:00Z,76,Open,Dust and livestock access check
INSP-0057,SITE-0007,ASSET-0007,ORG-0002,USER-0017,2026-06-08T11:00:00Z,77,Completed,Guard rail and culvert walkabout
INSP-0058,SITE-0008,ASSET-0008,ORG-0003,USER-0018,2026-06-08T14:00:00Z,78,Completed,Dust and livestock access check
INSP-0059,SITE-0009,ASSET-0009,ORG-0004,USER-0019,2026-06-08T17:00:00Z,79,Completed,Guard rail and culvert walkabout
INSP-0060,SITE-0010,ASSET-0010,ORG-0005,USER-0020,2026-06-08T20:00:00Z,80,Completed,Dust and livestock access check
INSP-0061,SITE-0011,ASSET-0011,ORG-0001,USER-0001,2026-06-08T23:00:00Z,81,Completed,Guard rail and culvert walkabout
INSP-0062,SITE-0012,ASSET-0012,ORG-0002,USER-0002,2026-06-09T02:00:00Z,82,Completed,Dust and livestock access check
INSP-0063,SITE-0013,ASSET-0013,ORG-0003,USER-0003,2026-06-09T05:00:00Z,83,Open,Guard rail and culvert walkabout
INSP-0064,SITE-0014,ASSET-0014,ORG-0004,USER-0004,2026-06-09T08:00:00Z,84,Completed,Dust and livestock access check
INSP-0065,SITE-0015,ASSET-0015,ORG-0005,USER-0005,2026-06-09T11:00:00Z,85,Completed,Guard rail and culvert walkabout
INSP-0066,SITE-0016,ASSET-0016,ORG-0001,USER-0006,2026-06-09T14:00:00Z,86,Completed,Dust and livestock access check
INSP-0067,SITE-0017,ASSET-0017,ORG-0002,USER-0007,2026-06-09T17:00:00Z,87,Completed,Guard rail and culvert walkabout
INSP-0068,SITE-0018,ASSET-0018,ORG-0003,USER-0008,2026-06-09T20:00:00Z,88,Completed,Dust and livestock access check
INSP-0069,SITE-0019,ASSET-0019,ORG-0004,USER-0009,2026-06-09T23:00:00Z,89,Completed,Guard rail and culvert walkabout
INSP-0070,SITE-0020,ASSET-0020,ORG-0005,USER-0010,2026-06-10T02:00:00Z,90,Open,Dust and livestock access check
INSP-0071,SITE-0001,ASSET-0021,ORG-0001,USER-0011,2026-06-10T05:00:00Z,91,Completed,Guard rail and culvert walkabout
INSP-0072,SITE-0002,ASSET-0022,ORG-0002,USER-0012,2026-06-10T08:00:00Z,92,Completed,Dust and livestock access check
INSP-0073,SITE-0003,ASSET-0023,ORG-0003,USER-0013,2026-06-10T11:00:00Z,93,Completed,Guard rail and culvert walkabout
INSP-0074,SITE-0004,ASSET-0024,ORG-0004,USER-0014,2026-06-10T14:00:00Z,94,Completed,Dust and livestock access check
INSP-0075,SITE-0005,ASSET-0025,ORG-0005,USER-0015,2026-06-10T17:00:00Z,95,Completed,Guard rail and culvert walkabout
INSP-0076,SITE-0006,ASSET-0026,ORG-0001,USER-0016,2026-06-10T20:00:00Z,96,Completed,Dust and livestock access check
INSP-0077,SITE-0007,ASSET-0027,ORG-0002,USER-0017,2026-06-10T23:00:00Z,97,Open,Guard rail and culvert walkabout
INSP-0078,SITE-0008,ASSET-0028,ORG-0003,USER-0018,2026-06-11T02:00:00Z,98,Completed,Dust and livestock access check
INSP-0079,SITE-0009,ASSET-0029,ORG-0004,USER-0019,2026-06-11T05:00:00Z,99,Completed,Guard rail and culvert walkabout
INSP-0080,SITE-0010,ASSET-0030,ORG-0005,USER-0020,2026-06-11T08:00:00Z,60,Completed,Dust and livestock access check
INSP-0081,SITE-0011,ASSET-0031,ORG-0001,USER-0001,2026-06-11T11:00:00Z,61,Completed,Guard rail and culvert walkabout
INSP-0082,SITE-0012,ASSET-0032,ORG-0002,USER-0002,2026-06-11T14:00:00Z,62,Completed,Dust and livestock access check
INSP-0083,SITE-0013,ASSET-0033,ORG-0003,USER-0003,2026-06-11T17:00:00Z,63,Completed,Guard rail and culvert walkabout
INSP-0084,SITE-0014,ASSET-0034,ORG-0004,USER-0004,2026-06-11T20:00:00Z,64,Open,Dust and livestock access check
INSP-0085,SITE-0015,ASSET-0035,ORG-0005,USER-0005,2026-06-11T23:00:00Z,65,Completed,Guard rail and culvert walkabout
INSP-0086,SITE-0016,ASSET-0036,ORG-0001,USER-0006,2026-06-12T02:00:00Z,66,Completed,Dust and livestock access check
INSP-0087,SITE-0017,ASSET-0037,ORG-0002,USER-0007,2026-06-12T05:00:00Z,67,Completed,Guard rail and culvert walkabout
INSP-0088,SITE-0018,ASSET-0038,ORG-0003,USER-0008,2026-06-12T08:00:00Z,68,Completed,Dust and livestock access check
INSP-0089,SITE-0019,ASSET-0039,ORG-0004,USER-0009,2026-06-12T11:00:00Z,69,Completed,Guard rail and culvert walkabout
INSP-0090,SITE-0020,ASSET-0040,ORG-0005,USER-0010,2026-06-12T14:00:00Z,70,Completed,Dust and livestock access check
INSP-0091,SITE-0001,ASSET-0041,ORG-0001,USER-0011,2026-06-12T17:00:00Z,71,Open,Guard rail and culvert walkabout
INSP-0092,SITE-0002,ASSET-0042,ORG-0002,USER-0012,2026-06-12T20:00:00Z,72,Completed,Dust and livestock access check
INSP-0093,SITE-0003,ASSET-0043,ORG-0003,USER-0013,2026-06-12T23:00:00Z,73,Completed,Guard rail and culvert walkabout
INSP-0094,SITE-0004,ASSET-0044,ORG-0004,USER-0014,2026-06-13T02:00:00Z,74,Completed,Dust and livestock access check
INSP-0095,SITE-0005,ASSET-0045,ORG-0005,USER-0015,2026-06-13T05:00:00Z,75,Completed,Guard rail and culvert walkabout
INSP-0096,SITE-0006,ASSET-0046,ORG-0001,USER-0016,2026-06-13T08:00:00Z,76,Completed,Dust and livestock access check
INSP-0097,SITE-0007,ASSET-0047,ORG-0002,USER-0017,2026-06-13T11:00:00Z,77,Completed,Guard rail and culvert walkabout
INSP-0098,SITE-0008,ASSET-0048,ORG-0003,USER-0018,2026-06-13T14:00:00Z,78,Open,Dust and livestock access check
INSP-0099,SITE-0009,ASSET-0049,ORG-0004,USER-0019,2026-06-13T17:00:00Z,79,Completed,Guard rail and culvert walkabout
INSP-0100,SITE-0010,ASSET-0050,ORG-0005,USER-0020,2026-06-13T20:00:00Z,80,Completed,Dust and livestock access check
INSP-0101,SITE-0001,ASSET-0001,ORG-0001,USER-0001,2026-06-13T23:00:00Z,81,Completed,Guard rail and culvert walkabout
INSP-0102,SITE-0002,ASSET-0002,ORG-0002,USER-0002,2026-06-14T02:00:00Z,82,Completed,Dust and livestock access check
INSP-0103,SITE-0003,ASSET-0003,ORG-0003,USER-0003,2026-06-14T05:00:00Z,83,Completed,Guard rail and culvert walkabout
INSP-0104,SITE-0004,ASSET-0004,ORG-0004,USER-0004,2026-06-14T08:00:00Z,84,Completed,Dust and livestock access check
INSP-0105,SITE-0005,ASSET-0005,ORG-0005,USER-0005,2026-06-14T11:00:00Z,85,Open,Guard rail and culvert walkabout
INSP-0106,SITE-0006,ASSET-0006,ORG-0001,USER-0006,2026-06-14T14:00:00Z,86,Completed,Dust and livestock access check
INSP-0107,SITE-0007,ASSET-0007,ORG-0002,USER-0007,2026-06-14T17:00:00Z,87,Completed,Guard rail and culvert walkabout
INSP-0108,SITE-0008,ASSET-0008,ORG-0003,USER-0008,2026-06-14T20:00:00Z,88,Completed,Dust and livestock access check
INSP-0109,SITE-0009,ASSET-0009,ORG-0004,USER-0009,2026-06-14T23:00:00Z,89,Completed,Guard rail and culvert walkabout
INSP-0110,SITE-0010,ASSET-0010,ORG-0005,USER-0010,2026-06-15T02:00:00Z,90,Completed,Dust and livestock access check
INSP-0111,SITE-0011,ASSET-0011,ORG-0001,USER-0011,2026-06-15T05:00:00Z,91,Completed,Guard rail and culvert walkabout
INSP-0112,SITE-0012,ASSET-0012,ORG-0002,USER-0012,2026-06-15T08:00:00Z,92,Open,Dust and livestock access check
INSP-0113,SITE-0013,ASSET-0013,ORG-0003,USER-0013,2026-06-15T11:00:00Z,93,Completed,Guard rail and culvert walkabout
INSP-0114,SITE-0014,ASSET-0014,ORG-0004,USER-0014,2026-06-15T14:00:00Z,94,Completed,Dust and livestock access check
INSP-0115,SITE-0015,ASSET-0015,ORG-0005,USER-0015,2026-06-15T17:00:00Z,95,Completed,Guard rail and culvert walkabout
INSP-0116,SITE-0016,ASSET-0016,ORG-0001,USER-0016,2026-06-15T20:00:00Z,96,Completed,Dust and livestock access check
INSP-0117,SITE-0017,ASSET-0017,ORG-0002,USER-0017,2026-06-15T23:00:00Z,97,Completed,Guard rail and culvert walkabout
INSP-0118,SITE-0018,ASSET-0018,ORG-0003,USER-0018,2026-06-16T02:00:00Z,98,Completed,Dust and livestock access check
INSP-0119,SITE-0019,ASSET-0019,ORG-0004,USER-0019,2026-06-16T05:00:00Z,99,Open,Guard rail and culvert walkabout
INSP-0120,SITE-0020,ASSET-0020,ORG-0005,USER-0020,2026-06-16T08:00:00Z,60,Completed,Dust and livestock access check
INSP-0121,SITE-0001,ASSET-0021,ORG-0001,USER-0001,2026-06-16T11:00:00Z,61,Completed,Guard rail and culvert walkabout
INSP-0122,SITE-0002,ASSET-0022,ORG-0002,USER-0002,2026-06-16T14:00:00Z,62,Completed,Dust and livestock access check
INSP-0123,SITE-0003,ASSET-0023,ORG-0003,USER-0003,2026-06-16T17:00:00Z,63,Completed,Guard rail and culvert walkabout
INSP-0124,SITE-0004,ASSET-0024,ORG-0004,USER-0004,2026-06-16T20:00:00Z,64,Completed,Dust and livestock access check
INSP-0125,SITE-0005,ASSET-0025,ORG-0005,USER-0005,2026-06-16T23:00:00Z,65,Completed,Guard rail and culvert walkabout
INSP-0126,SITE-0006,ASSET-0026,ORG-0001,USER-0006,2026-06-17T02:00:00Z,66,Open,Dust and livestock access check
INSP-0127,SITE-0007,ASSET-0027,ORG-0002,USER-0007,2026-06-17T05:00:00Z,67,Completed,Guard rail and culvert walkabout
INSP-0128,SITE-0008,ASSET-0028,ORG-0003,USER-0008,2026-06-17T08:00:00Z,68,Completed,Dust and livestock access check
INSP-0129,SITE-0009,ASSET-0029,ORG-0004,USER-0009,2026-06-17T11:00:00Z,69,Completed,Guard rail and culvert walkabout
INSP-0130,SITE-0010,ASSET-0030,ORG-0005,USER-0010,2026-06-17T14:00:00Z,70,Completed,Dust and livestock access check
INSP-0131,SITE-0011,ASSET-0031,ORG-0001,USER-0011,2026-06-17T17:00:00Z,71,Completed,Guard rail and culvert walkabout
INSP-0132,SITE-0012,ASSET-0032,ORG-0002,USER-0012,2026-06-17T20:00:00Z,72,Completed,Dust and livestock access check
INSP-0133,SITE-0013,ASSET-0033,ORG-0003,USER-0013,2026-06-17T23:00:00Z,73,Open,Guard rail and culvert walkabout
INSP-0134,SITE-0014,ASSET-0034,ORG-0004,USER-0014,2026-06-18T02:00:00Z,74,Completed,Dust and livestock access check
INSP-0135,SITE-0015,ASSET-0035,ORG-0005,USER-0015,2026-06-18T05:00:00Z,75,Completed,Guard rail and culvert walkabout
INSP-0136,SITE-0016,ASSET-0036,ORG-0001,USER-0016,2026-06-18T08:00:00Z,76,Completed,Dust and livestock access check
INSP-0137,SITE-0017,ASSET-0037,ORG-0002,USER-0017,2026-06-18T11:00:00Z,77,Completed,Guard rail and culvert walkabout
INSP-0138,SITE-0018,ASSET-0038,ORG-0003,USER-0018,2026-06-18T14:00:00Z,78,Completed,Dust and livestock access check
INSP-0139,SITE-0019,ASSET-0039,ORG-0004,USER-0019,2026-06-18T17:00:00Z,79,Completed,Guard rail and culvert walkabout
INSP-0140,SITE-0020,ASSET-0040,ORG-0005,USER-0020,2026-06-18T20:00:00Z,80,Open,Dust and livestock access check
INSP-0141,SITE-0001,ASSET-0041,ORG-0001,USER-0001,2026-06-18T23:00:00Z,81,Completed,Guard rail and culvert walkabout
INSP-0142,SITE-0002,ASSET-0042,ORG-0002,USER-0002,2026-06-19T02:00:00Z,82,Completed,Dust and livestock access check
INSP-0143,SITE-0003,ASSET-0043,ORG-0003,USER-0003,2026-06-19T05:00:00Z,83,Completed,Guard rail and culvert walkabout
INSP-0144,SITE-0004,ASSET-0044,ORG-0004,USER-0004,2026-06-19T08:00:00Z,84,Completed,Dust and livestock access check
INSP-0145,SITE-0005,ASSET-0045,ORG-0005,USER-0005,2026-06-19T11:00:00Z,85,Completed,Guard rail and culvert walkabout
INSP-0146,SITE-0006,ASSET-0046,ORG-0001,USER-0006,2026-06-19T14:00:00Z,86,Completed,Dust and livestock access check
INSP-0147,SITE-0007,ASSET-0047,ORG-0002,USER-0007,2026-06-19T17:00:00Z,87,Open,Guard rail and culvert walkabout
INSP-0148,SITE-0008,ASSET-0048,ORG-0003,USER-0008,2026-06-19T20:00:00Z,88,Completed,Dust and livestock access check
INSP-0149,SITE-0009,ASSET-0049,ORG-0004,USER-0009,2026-06-19T23:00:00Z,89,Completed,Guard rail and culvert walkabout
INSP-0150,SITE-0010,ASSET-0050,ORG-0005,USER-0010,2026-06-20T02:00:00Z,90,Completed,Dust and livestock access check
INSP-0151,SITE-0001,ASSET-0001,ORG-0001,USER-0011,2026-06-20T05:00:00Z,91,Completed,Guard rail and culvert walkabout
INSP-0152,SITE-0002,ASSET-0002,ORG-0002,USER-0012,2026-06-20T08:00:00Z,92,Completed,Dust and livestock access check
INSP-0153,SITE-0003,ASSET-0003,ORG-0003,USER-0013,2026-06-20T11:00:00Z,93,Completed,Guard rail and culvert walkabout
INSP-0154,SITE-0004,ASSET-0004,ORG-0004,USER-0014,2026-06-20T14:00:00Z,94,Open,Dust and livestock access check
INSP-0155,SITE-0005,ASSET-0005,ORG-0005,USER-0015,2026-06-20T17:00:00Z,95,Completed,Guard rail and culvert walkabout
INSP-0156,SITE-0006,ASSET-0006,ORG-0001,USER-0016,2026-06-20T20:00:00Z,96,Completed,Dust and livestock access check
INSP-0157,SITE-0007,ASSET-0007,ORG-0002,USER-0017,2026-06-20T23:00:00Z,97,Completed,Guard rail and culvert walkabout
INSP-0158,SITE-0008,ASSET-0008,ORG-0003,USER-0018,2026-06-21T02:00:00Z,98,Completed,Dust and livestock access check
INSP-0159,SITE-0009,ASSET-0009,ORG-0004,USER-0019,2026-06-21T05:00:00Z,99,Completed,Guard rail and culvert walkabout
INSP-0160,SITE-0010,ASSET-0010,ORG-0005,USER-0020,2026-06-21T08:00:00Z,60,Completed,Dust and livestock access check
INSP-0161,SITE-0011,ASSET-0011,ORG-0001,USER-0001,2026-06-21T11:00:00Z,61,Open,Guard rail and culvert walkabout
INSP-0162,SITE-0012,ASSET-0012,ORG-0002,USER-0002,2026-06-21T14:00:00Z,62,Completed,Dust and livestock access check
INSP-0163,SITE-0013,ASSET-0013,ORG-0003,USER-0003,2026-06-21T17:00:00Z,63,Completed,Guard rail and culvert walkabout
INSP-0164,SITE-0014,ASSET-0014,ORG-0004,USER-0004,2026-06-21T20:00:00Z,64,Completed,Dust and livestock access check
INSP-0165,SITE-0015,ASSET-0015,ORG-0005,USER-0005,2026-06-21T23:00:00Z,65,Completed,Guard rail and culvert walkabout
INSP-0166,SITE-0016,ASSET-0016,ORG-0001,USER-0006,2026-06-22T02:00:00Z,66,Completed,Dust and livestock access check
INSP-0167,SITE-0017,ASSET-0017,ORG-0002,USER-0007,2026-06-22T05:00:00Z,67,Completed,Guard rail and culvert walkabout
INSP-0168,SITE-0018,ASSET-0018,ORG-0003,USER-0008,2026-06-22T08:00:00Z,68,Open,Dust and livestock access check
INSP-0169,SITE-0019,ASSET-0019,ORG-0004,USER-0009,2026-06-22T11:00:00Z,69,Completed,Guard rail and culvert walkabout
INSP-0170,SITE-0020,ASSET-0020,ORG-0005,USER-0010,2026-06-22T14:00:00Z,70,Completed,Dust and livestock access check
INSP-0171,SITE-0001,ASSET-0021,ORG-0001,USER-0011,2026-06-22T17:00:00Z,71,Completed,Guard rail and culvert walkabout
INSP-0172,SITE-0002,ASSET-0022,ORG-0002,USER-0012,2026-06-22T20:00:00Z,72,Completed,Dust and livestock access check
INSP-0173,SITE-0003,ASSET-0023,ORG-0003,USER-0013,2026-06-22T23:00:00Z,73,Completed,Guard rail and culvert walkabout
INSP-0174,SITE-0004,ASSET-0024,ORG-0004,USER-0014,2026-06-23T02:00:00Z,74,Completed,Dust and livestock access check
INSP-0175,SITE-0005,ASSET-0025,ORG-0005,USER-0015,2026-06-23T05:00:00Z,75,Open,Guard rail and culvert walkabout
INSP-0176,SITE-0006,ASSET-0026,ORG-0001,USER-0016,2026-06-23T08:00:00Z,76,Completed,Dust and livestock access check
INSP-0177,SITE-0007,ASSET-0027,ORG-0002,USER-0017,2026-06-23T11:00:00Z,77,Completed,Guard rail and culvert walkabout
INSP-0178,SITE-0008,ASSET-0028,ORG-0003,USER-0018,2026-06-23T14:00:00Z,78,Completed,Dust and livestock access check
INSP-0179,SITE-0009,ASSET-0029,ORG-0004,USER-0019,2026-06-23T17:00:00Z,79,Completed,Guard rail and culvert walkabout
INSP-0180,SITE-0010,ASSET-0030,ORG-0005,USER-0020,2026-06-23T20:00:00Z,80,Completed,Dust and livestock access check
INSP-0181,SITE-0011,ASSET-0031,ORG-0001,USER-0001,2026-06-23T23:00:00Z,81,Completed,Guard rail and culvert walkabout
INSP-0182,SITE-0012,ASSET-0032,ORG-0002,USER-0002,2026-06-24T02:00:00Z,82,Open,Dust and livestock access check
INSP-0183,SITE-0013,ASSET-0033,ORG-0003,USER-0003,2026-06-24T05:00:00Z,83,Completed,Guard rail and culvert walkabout
INSP-0184,SITE-0014,ASSET-0034,ORG-0004,USER-0004,2026-06-24T08:00:00Z,84,Completed,Dust and livestock access check
INSP-0185,SITE-0015,ASSET-0035,ORG-0005,USER-0005,2026-06-24T11:00:00Z,85,Completed,Guard rail and culvert walkabout
INSP-0186,SITE-0016,ASSET-0036,ORG-0001,USER-0006,2026-06-24T14:00:00Z,86,Completed,Dust and livestock access check
INSP-0187,SITE-0017,ASSET-0037,ORG-0002,USER-0007,2026-06-24T17:00:00Z,87,Completed,Guard rail and culvert walkabout
INSP-0188,SITE-0018,ASSET-0038,ORG-0003,USER-0008,2026-06-24T20:00:00Z,88,Completed,Dust and livestock access check
INSP-0189,SITE-0019,ASSET-0039,ORG-0004,USER-0009,2026-06-24T23:00:00Z,89,Open,Guard rail and culvert walkabout
INSP-0190,SITE-0020,ASSET-0040,ORG-0005,USER-0010,2026-06-25T02:00:00Z,90,Completed,Dust and livestock access check
INSP-0191,SITE-0001,ASSET-0041,ORG-0001,USER-0011,2026-06-25T05:00:00Z,91,Completed,Guard rail and culvert walkabout
INSP-0192,SITE-0002,ASSET-0042,ORG-0002,USER-0012,2026-06-25T08:00:00Z,92,Completed,Dust and livestock access check
INSP-0193,SITE-0003,ASSET-0043,ORG-0003,USER-0013,2026-06-25T11:00:00Z,93,Completed,Guard rail and culvert walkabout
INSP-0194,SITE-0004,ASSET-0044,ORG-0004,USER-0014,2026-06-25T14:00:00Z,94,Completed,Dust and livestock access check
INSP-0195,SITE-0005,ASSET-0045,ORG-0005,USER-0015,2026-06-25T17:00:00Z,95,Completed,Guard rail and culvert walkabout
INSP-0196,SITE-0006,ASSET-0046,ORG-0001,USER-0016,2026-06-25T20:00:00Z,96,Open,Dust and livestock access check
INSP-0197,SITE-0007,ASSET-0047,ORG-0002,USER-0017,2026-06-25T23:00:00Z,97,Completed,Guard rail and culvert walkabout
INSP-0198,SITE-0008,ASSET-0048,ORG-0003,USER-0018,2026-06-26T02:00:00Z,98,Completed,Dust and livestock access check
INSP-0199,SITE-0009,ASSET-0049,ORG-0004,USER-0019,2026-06-26T05:00:00Z,99,Completed,Guard rail and culvert walkabout
INSP-0200,SITE-0010,ASSET-0050,ORG-0005,USER-0020,2026-06-26T08:00:00Z,60,Completed,Dust and livestock access check
