id,asset_id,inspector_id,date_time,score,notes,checklist_json,status
INSP-1001,ASSET-210,USER-INS-01,2026-08-01T09:15:00Z,72,Blockage and small cracks,"{""drainage"":""partial_blocked"",""structural_cracks"":""hairline""}",Completed
INSP-1017,ASSET-217,USER-INS-01,2026-06-02T15:30:00Z,90,Routine inspection; no immediate action,"{""drainage"":""clear"",""structural_cracks"":""hairline"",""scour"":""none"",""safety_barrier"":""intact""}",Completed
INSP-1018,ASSET-218,USER-CTR-01,2026-07-17T18:30:00Z,86,Partial blockage; schedule clean,"{""drainage"":""blocked"",""structural_cracks"":""hairline"",""scour"":""none"",""safety_barrier"":""missing""}",Completed
INSP-1019,ASSET-219,USER-CTR-01,2026-08-26T13:45:00Z,64,Routine inspection; no immediate action,"{""drainage"":""clear"",""structural_cracks"":""wide"",""scour"":""minor"",""safety_barrier"":""damaged""}",Completed
INSP-1020,ASSET-220,USER-INS-01,2026-06-23T14:30:00Z,58,Vegetation cleared; reinspect in 30 days,"{""drainage"":""partial_blocked"",""structural_cracks"":""wide"",""scour"":""severe"",""safety_barrier"":""damaged""}",Completed
INSP-1021,ASSET-221,USER-INS-01,2026-06-14T03:15:00Z,82,Routine inspection; no immediate action,"{""drainage"":""partial_blocked"",""structural_cracks"":""wide"",""scour"":""severe"",""safety_barrier"":""intact""}",Completed
INSP-1022,ASSET-222,USER-CTR-01,2026-07-23T21:30:00Z,98,Routine inspection; no immediate action,"{""drainage"":""partial_blocked"",""structural_cracks"":""none"",""scour"":""severe"",""safety_barrier"":""intact""}",Completed
INSP-1023,ASSET-223,USER-CTR-01,2026-08-09T15:15:00Z,63,Partial blockage; schedule clean,"{""drainage"":""clear"",""structural_cracks"":""hairline"",""scour"":""none"",""safety_barrier"":""intact""}",Completed
INSP-1024,ASSET-224,USER-INS-01,2026-08-10T13:15:00Z,65,Partial blockage; schedule clean,"{""drainage"":""blocked"",""structural_cracks"":""none"",""scour"":""minor"",""safety_barrier"":""intact""}",Draft
INSP-1025,ASSET-225,USER-CTR-01,2026-07-05T08:45:00Z,70,Barrier damage; contractor to quote,"{""drainage"":""clear"",""structural_cracks"":""none"",""scour"":""none"",""safety_barrier"":""missing""}",Completed
INSP-1026,ASSET-226,USER-CTR-01,2026-07-18T20:00:00Z,97,Barrier damage; contractor to quote,"{""drainage"":""partial_blocked"",""structural_cracks"":""wide"",""scour"":""severe"",""safety_barrier"":""damaged""}",Completed
INSP-1027,ASSET-227,USER-CTR-01,2026-06-06T00:00:00Z,64,Partial blockage; schedule clean,"{""drainage"":""blocked"",""structural_cracks"":""hairline"",""scour"":""none"",""safety_barrier"":""intact""}",Completed
INSP-1028,ASSET-228,USER-CTR-01,2026-07-24T19:45:00Z,86,Joint sealant failed; fair condition,"{""drainage"":""clear"",""structural_cracks"":""hairline"",""scour"":""severe"",""safety_barrier"":""intact""}",Completed
INSP-1029,ASSET-229,USER-INS-01,2026-06-01T13:15:00Z,71,Scour at outlet; monitor after rain,"{""drainage"":""clear"",""structural_cracks"":""wide"",""scour"":""minor"",""safety_barrier"":""missing""}",Completed
INSP-1030,ASSET-230,USER-INS-01,2026-07-22T13:30:00Z,90,Scour at outlet; monitor after rain,"{""drainage"":""partial_blocked"",""structural_cracks"":""hairline"",""scour"":""severe"",""safety_barrier"":""damaged""}",Completed
INSP-1031,ASSET-231,USER-INS-01,2026-08-12T01:45:00Z,91,Vegetation cleared; reinspect in 30 days,"{""drainage"":""clear"",""structural_cracks"":""wide"",""scour"":""severe"",""safety_barrier"":""damaged""}",Completed
INSP-1032,ASSET-232,USER-CTR-01,2026-07-23T03:30:00Z,61,Scour at outlet; monitor after rain,"{""drainage"":""blocked"",""structural_cracks"":""wide"",""scour"":""severe"",""safety_barrier"":""damaged""}",Completed
INSP-1033,ASSET-233,USER-CTR-01,2026-07-07T18:45:00Z,98,Vegetation cleared; reinspect in 30 days,"{""drainage"":""clear"",""structural_cracks"":""wide"",""scour"":""none"",""safety_barrier"":""damaged""}",Completed
INSP-1034,ASSET-234,USER-CTR-01,2026-06-17T05:15:00Z,91,Barrier damage; contractor to quote,"{""drainage"":""clear"",""structural_cracks"":""none"",""scour"":""none"",""safety_barrier"":""intact""}",Completed
INSP-1035,ASSET-235,USER-CTR-01,2026-06-13T17:45:00Z,74,Vegetation cleared; reinspect in 30 days,"{""drainage"":""blocked"",""structural_cracks"":""none"",""scour"":""severe"",""safety_barrier"":""missing""}",Completed
INSP-1036,ASSET-236,USER-CTR-01,2026-07-12T22:15:00Z,89,Vegetation cleared; reinspect in 30 days,"{""drainage"":""clear"",""structural_cracks"":""none"",""scour"":""minor"",""safety_barrier"":""intact""}",Completed
INSP-1037,ASSET-237,USER-CTR-01,2026-06-09T20:15:00Z,55,Scour at outlet; monitor after rain,"{""drainage"":""clear"",""structural_cracks"":""hairline"",""scour"":""severe"",""safety_barrier"":""missing""}",Follow-up
INSP-1038,ASSET-238,USER-INS-01,2026-08-15T19:45:00Z,83,Scour at outlet; monitor after rain,"{""drainage"":""clear"",""structural_cracks"":""wide"",""scour"":""minor"",""safety_barrier"":""damaged""}",Completed
INSP-1039,ASSET-239,USER-CTR-01,2026-07-18T14:45:00Z,88,Partial blockage; schedule clean,"{""drainage"":""partial_blocked"",""structural_cracks"":""hairline"",""scour"":""none"",""safety_barrier"":""missing""}",Completed
INSP-1040,ASSET-240,USER-INS-01,2026-07-28T14:30:00Z,82,Routine inspection; no immediate action,"{""drainage"":""clear"",""structural_cracks"":""none"",""scour"":""none"",""safety_barrier"":""damaged""}",Completed
INSP-1041,ASSET-241,USER-CTR-01,2026-06-12T06:45:00Z,74,Barrier damage; contractor to quote,"{""drainage"":""blocked"",""structural_cracks"":""hairline"",""scour"":""minor"",""safety_barrier"":""intact""}",Completed
INSP-1042,ASSET-242,USER-CTR-01,2026-08-06T18:00:00Z,96,Joint sealant failed; fair condition,"{""drainage"":""partial_blocked"",""structural_cracks"":""hairline"",""scour"":""none"",""safety_barrier"":""damaged""}",Completed
INSP-1043,ASSET-243,USER-CTR-01,2026-08-11T19:15:00Z,79,Partial blockage; schedule clean,"{""drainage"":""partial_blocked"",""structural_cracks"":""hairline"",""scour"":""minor"",""safety_barrier"":""intact""}",Completed
INSP-1044,ASSET-244,USER-INS-01,2026-06-29T11:45:00Z,56,Joint sealant failed; fair condition,"{""drainage"":""blocked"",""structural_cracks"":""none"",""scour"":""minor"",""safety_barrier"":""missing""}",Completed
INSP-1045,ASSET-245,USER-CTR-01,2026-06-15T14:45:00Z,56,Scour at outlet; monitor after rain,"{""drainage"":""clear"",""structural_cracks"":""none"",""scour"":""minor"",""safety_barrier"":""damaged""}",Completed
INSP-1046,ASSET-246,USER-INS-01,2026-07-27T01:30:00Z,96,Scour at outlet; monitor after rain,"{""drainage"":""partial_blocked"",""structural_cracks"":""hairline"",""scour"":""minor"",""safety_barrier"":""intact""}",Completed
INSP-1047,ASSET-247,USER-INS-01,2026-07-31T00:15:00Z,89,Routine inspection; no immediate action,"{""drainage"":""blocked"",""structural_cracks"":""none"",""scour"":""none"",""safety_barrier"":""intact""}",Completed
INSP-1048,ASSET-248,USER-CTR-01,2026-06-27T07:15:00Z,56,Scour at outlet; monitor after rain,"{""drainage"":""blocked"",""structural_cracks"":""none"",""scour"":""severe"",""safety_barrier"":""intact""}",Completed
INSP-1049,ASSET-249,USER-INS-01,2026-08-03T05:15:00Z,86,Joint sealant failed; fair condition,"{""drainage"":""blocked"",""structural_cracks"":""wide"",""scour"":""none"",""safety_barrier"":""intact""}",Follow-up
INSP-1050,ASSET-250,USER-INS-01,2026-06-05T16:30:00Z,84,Vegetation cleared; reinspect in 30 days,"{""drainage"":""partial_blocked"",""structural_cracks"":""hairline"",""scour"":""severe"",""safety_barrier"":""intact""}",Completed
INSP-1051,ASSET-201,USER-CTR-01,2026-06-18T16:30:00Z,91,Joint sealant failed; fair condition,"{""drainage"":""clear"",""structural_cracks"":""wide"",""scour"":""none"",""safety_barrier"":""damaged""}",Completed
INSP-1052,ASSET-202,USER-CTR-01,2026-06-13T01:30:00Z,48,Scour at outlet; monitor after rain,"{""drainage"":""partial_blocked"",""structural_cracks"":""none"",""scour"":""minor"",""safety_barrier"":""damaged""}",Completed
INSP-1053,ASSET-203,USER-CTR-01,2026-06-27T09:45:00Z,59,Vegetation cleared; reinspect in 30 days,"{""drainage"":""blocked"",""structural_cracks"":""wide"",""scour"":""minor"",""safety_barrier"":""missing""}",Completed
INSP-1054,ASSET-204,USER-CTR-01,2026-08-19T15:45:00Z,94,Joint sealant failed; fair condition,"{""drainage"":""partial_blocked"",""structural_cracks"":""hairline"",""scour"":""none"",""safety_barrier"":""intact""}",Completed
INSP-1055,ASSET-205,USER-CTR-01,2026-07-12T21:45:00Z,84,Joint sealant failed; fair condition,"{""drainage"":""blocked"",""structural_cracks"":""hairline"",""scour"":""minor"",""safety_barrier"":""intact""}",Completed
INSP-1056,ASSET-206,USER-CTR-01,2026-07-02T07:45:00Z,61,Barrier damage; contractor to quote,"{""drainage"":""partial_blocked"",""structural_cracks"":""hairline"",""scour"":""minor"",""safety_barrier"":""missing""}",Completed
INSP-1057,ASSET-207,USER-CTR-01,2026-06-03T00:15:00Z,53,Partial blockage; schedule clean,"{""drainage"":""blocked"",""structural_cracks"":""hairline"",""scour"":""minor"",""safety_barrier"":""missing""}",Completed
INSP-1058,ASSET-208,USER-CTR-01,2026-08-24T01:45:00Z,98,Routine inspection; no immediate action,"{""drainage"":""clear"",""structural_cracks"":""hairline"",""scour"":""none"",""safety_barrier"":""damaged""}",Completed
INSP-1059,ASSET-209,USER-CTR-01,2026-08-03T06:45:00Z,83,Joint sealant failed; fair condition,"{""drainage"":""partial_blocked"",""structural_cracks"":""hairline"",""scour"":""severe"",""safety_barrier"":""missing""}",Completed
INSP-1060,ASSET-210,USER-INS-01,2026-07-17T12:30:00Z,64,Partial blockage; schedule clean,"{""drainage"":""clear"",""structural_cracks"":""wide"",""scour"":""none"",""safety_barrier"":""damaged""}",Completed
INSP-1061,ASSET-211,USER-INS-01,2026-07-03T23:15:00Z,95,Scour at outlet; monitor after rain,"{""drainage"":""partial_blocked"",""structural_cracks"":""wide"",""scour"":""severe"",""safety_barrier"":""missing""}",Completed
INSP-1062,ASSET-212,USER-CTR-01,2026-07-04T10:30:00Z,62,Barrier damage; contractor to quote,"{""drainage"":""clear"",""structural_cracks"":""hairline"",""scour"":""none"",""safety_barrier"":""missing""}",Completed
INSP-1063,ASSET-213,USER-INS-01,2026-06-09T01:00:00Z,83,Barrier damage; contractor to quote,"{""drainage"":""blocked"",""structural_cracks"":""none"",""scour"":""severe"",""safety_barrier"":""damaged""}",Completed
INSP-1064,ASSET-214,USER-CTR-01,2026-07-19T19:45:00Z,78,Scour at outlet; monitor after rain,"{""drainage"":""partial_blocked"",""structural_cracks"":""none"",""scour"":""none"",""safety_barrier"":""damaged""}",Follow-up
INSP-1065,ASSET-215,USER-INS-01,2026-06-20T18:00:00Z,73,Scour at outlet; monitor after rain,"{""drainage"":""clear"",""structural_cracks"":""wide"",""scour"":""severe"",""safety_barrier"":""missing""}",Completed
INSP-1066,ASSET-216,USER-INS-01,2026-07-23T03:00:00Z,63,Routine inspection; no immediate action,"{""drainage"":""blocked"",""structural_cracks"":""hairline"",""scour"":""severe"",""safety_barrier"":""missing""}",Completed
INSP-1067,ASSET-217,USER-INS-01,2026-08-29T11:45:00Z,76,Scour at outlet; monitor after rain,"{""drainage"":""partial_blocked"",""structural_cracks"":""wide"",""scour"":""minor"",""safety_barrier"":""damaged""}",Completed
INSP-1068,ASSET-218,USER-INS-01,2026-06-18T05:15:00Z,88,Partial blockage; schedule clean,"{""drainage"":""partial_blocked"",""structural_cracks"":""wide"",""scour"":""none"",""safety_barrier"":""intact""}",Completed
INSP-1069,ASSET-219,USER-CTR-01,2026-06-28T00:00:00Z,74,Scour at outlet; monitor after rain,"{""drainage"":""blocked"",""structural_cracks"":""wide"",""scour"":""minor"",""safety_barrier"":""damaged""}",Completed
INSP-1070,ASSET-220,USER-INS-01,2026-07-19T13:45:00Z,52,Vegetation cleared; reinspect in 30 days,"{""drainage"":""clear"",""structural_cracks"":""hairline"",""scour"":""severe"",""safety_barrier"":""missing""}",Completed
INSP-1071,ASSET-221,USER-INS-01,2026-08-12T20:00:00Z,82,Partial blockage; schedule clean,"{""drainage"":""blocked"",""structural_cracks"":""none"",""scour"":""minor"",""safety_barrier"":""intact""}",Completed
INSP-1072,ASSET-222,USER-CTR-01,2026-07-23T18:30:00Z,76,Routine inspection; no immediate action,"{""drainage"":""partial_blocked"",""structural_cracks"":""wide"",""scour"":""minor"",""safety_barrier"":""missing""}",Completed
INSP-1073,ASSET-223,USER-CTR-01,2026-08-25T16:45:00Z,76,Routine inspection; no immediate action,"{""drainage"":""blocked"",""structural_cracks"":""none"",""scour"":""minor"",""safety_barrier"":""missing""}",Completed
INSP-1074,ASSET-224,USER-INS-01,2026-06-05T16:00:00Z,62,Vegetation cleared; reinspect in 30 days,"{""drainage"":""blocked"",""structural_cracks"":""wide"",""scour"":""none"",""safety_barrier"":""missing""}",Draft
INSP-1075,ASSET-225,USER-CTR-01,2026-07-01T04:45:00Z,81,Vegetation cleared; reinspect in 30 days,"{""drainage"":""partial_blocked"",""structural_cracks"":""hairline"",""scour"":""none"",""safety_barrier"":""missing""}",Completed
INSP-1076,ASSET-226,USER-CTR-01,2026-06-16T20:45:00Z,70,Scour at outlet; monitor after rain,"{""drainage"":""partial_blocked"",""structural_cracks"":""hairline"",""scour"":""severe"",""safety_barrier"":""intact""}",Draft
INSP-1077,ASSET-227,USER-CTR-01,2026-08-10T13:45:00Z,66,Vegetation cleared; reinspect in 30 days,"{""drainage"":""partial_blocked"",""structural_cracks"":""wide"",""scour"":""none"",""safety_barrier"":""damaged""}",Completed
INSP-1078,ASSET-228,USER-INS-01,2026-07-26T11:00:00Z,97,Scour at outlet; monitor after rain,"{""drainage"":""blocked"",""structural_cracks"":""none"",""scour"":""severe"",""safety_barrier"":""missing""}",Completed
INSP-1079,ASSET-229,USER-INS-01,2026-07-03T07:30:00Z,87,Scour at outlet; monitor after rain,"{""drainage"":""blocked"",""structural_cracks"":""hairline"",""scour"":""none"",""safety_barrier"":""intact""}",Completed
INSP-1080,ASSET-230,USER-INS-01,2026-07-20T10:45:00Z,92,Scour at outlet; monitor after rain,"{""drainage"":""clear"",""structural_cracks"":""none"",""scour"":""severe"",""safety_barrier"":""missing""}",Completed
INSP-1081,ASSET-231,USER-INS-01,2026-07-24T07:00:00Z,83,Scour at outlet; monitor after rain,"{""drainage"":""clear"",""structural_cracks"":""none"",""scour"":""none"",""safety_barrier"":""damaged""}",Follow-up
INSP-1082,ASSET-232,USER-INS-01,2026-08-25T08:30:00Z,80,Vegetation cleared; reinspect in 30 days,"{""drainage"":""partial_blocked"",""structural_cracks"":""hairline"",""scour"":""minor"",""safety_barrier"":""damaged""}",Completed
INSP-1083,ASSET-233,USER-CTR-01,2026-08-05T18:15:00Z,86,Joint sealant failed; fair condition,"{""drainage"":""blocked"",""structural_cracks"":""none"",""scour"":""none"",""safety_barrier"":""damaged""}",Completed
INSP-1084,ASSET-234,USER-CTR-01,2026-07-29T07:30:00Z,48,Barrier damage; contractor to quote,"{""drainage"":""blocked"",""structural_cracks"":""hairline"",""scour"":""severe"",""safety_barrier"":""missing""}",Follow-up
INSP-1085,ASSET-235,USER-CTR-01,2026-06-26T15:45:00Z,82,Scour at outlet; monitor after rain,"{""drainage"":""partial_blocked"",""structural_cracks"":""hairline"",""scour"":""severe"",""safety_barrier"":""missing""}",Completed
INSP-1086,ASSET-236,USER-CTR-01,2026-07-03T11:15:00Z,84,Scour at outlet; monitor after rain,"{""drainage"":""clear"",""structural_cracks"":""hairline"",""scour"":""none"",""safety_barrier"":""damaged""}",Completed
INSP-1087,ASSET-237,USER-CTR-01,2026-08-06T04:15:00Z,79,Routine inspection; no immediate action,"{""drainage"":""clear"",""structural_cracks"":""wide"",""scour"":""severe"",""safety_barrier"":""damaged""}",Draft
INSP-1088,ASSET-238,USER-CTR-01,2026-06-18T07:45:00Z,48,Vegetation cleared; reinspect in 30 days,"{""drainage"":""clear"",""structural_cracks"":""hairline"",""scour"":""severe"",""safety_barrier"":""intact""}",Completed
INSP-1089,ASSET-239,USER-CTR-01,2026-07-29T01:45:00Z,89,Routine inspection; no immediate action,"{""drainage"":""partial_blocked"",""structural_cracks"":""wide"",""scour"":""severe"",""safety_barrier"":""damaged""}",Follow-up
INSP-1090,ASSET-240,USER-INS-01,2026-06-07T10:00:00Z,63,Vegetation cleared; reinspect in 30 days,"{""drainage"":""blocked"",""structural_cracks"":""hairline"",""scour"":""none"",""safety_barrier"":""missing""}",Completed
INSP-1091,ASSET-241,USER-CTR-01,2026-06-18T10:45:00Z,58,Vegetation cleared; reinspect in 30 days,"{""drainage"":""partial_blocked"",""structural_cracks"":""none"",""scour"":""none"",""safety_barrier"":""damaged""}",Completed
INSP-1092,ASSET-242,USER-INS-01,2026-08-01T11:30:00Z,75,Partial blockage; schedule clean,"{""drainage"":""clear"",""structural_cracks"":""wide"",""scour"":""minor"",""safety_barrier"":""missing""}",Completed
INSP-1093,ASSET-243,USER-INS-01,2026-06-30T07:15:00Z,53,Joint sealant failed; fair condition,"{""drainage"":""partial_blocked"",""structural_cracks"":""wide"",""scour"":""severe"",""safety_barrier"":""intact""}",Completed
INSP-1094,ASSET-244,USER-CTR-01,2026-07-10T22:45:00Z,88,Barrier damage; contractor to quote,"{""drainage"":""partial_blocked"",""structural_cracks"":""hairline"",""scour"":""severe"",""safety_barrier"":""intact""}",Draft
INSP-1095,ASSET-245,USER-CTR-01,2026-07-20T09:15:00Z,52,Scour at outlet; monitor after rain,"{""drainage"":""partial_blocked"",""structural_cracks"":""wide"",""scour"":""minor"",""safety_barrier"":""missing""}",Follow-up
INSP-1096,ASSET-246,USER-CTR-01,2026-08-18T06:30:00Z,60,Scour at outlet; monitor after rain,"{""drainage"":""partial_blocked"",""structural_cracks"":""none"",""scour"":""none"",""safety_barrier"":""damaged""}",Completed
INSP-1097,ASSET-247,USER-INS-01,2026-07-21T16:00:00Z,90,Scour at outlet; monitor after rain,"{""drainage"":""partial_blocked"",""structural_cracks"":""none"",""scour"":""severe"",""safety_barrier"":""missing""}",Completed
INSP-1098,ASSET-248,USER-CTR-01,2026-08-25T01:30:00Z,97,Partial blockage; schedule clean,"{""drainage"":""blocked"",""structural_cracks"":""hairline"",""scour"":""none"",""safety_barrier"":""missing""}",Completed
INSP-1099,ASSET-249,USER-INS-01,2026-06-24T15:00:00Z,88,Vegetation cleared; reinspect in 30 days,"{""drainage"":""clear"",""structural_cracks"":""hairline"",""scour"":""minor"",""safety_barrier"":""intact""}",Completed
INSP-1100,ASSET-250,USER-CTR-01,2026-06-16T16:30:00Z,68,Vegetation cleared; reinspect in 30 days,"{""drainage"":""partial_blocked"",""structural_cracks"":""none"",""scour"":""none"",""safety_barrier"":""intact""}",Completed
INSP-1101,ASSET-201,USER-CTR-01,2026-08-25T22:30:00Z,58,Barrier damage; contractor to quote,"{""drainage"":""partial_blocked"",""structural_cracks"":""hairline"",""scour"":""severe"",""safety_barrier"":""damaged""}",Completed
INSP-1102,ASSET-202,USER-CTR-01,2026-06-14T03:15:00Z,96,Partial blockage; schedule clean,"{""drainage"":""blocked"",""structural_cracks"":""wide"",""scour"":""severe"",""safety_barrier"":""damaged""}",Follow-up
INSP-1103,ASSET-203,USER-CTR-01,2026-06-16T16:45:00Z,48,Barrier damage; contractor to quote,"{""drainage"":""blocked"",""structural_cracks"":""none"",""scour"":""minor"",""safety_barrier"":""damaged""}",Completed
INSP-1104,ASSET-204,USER-CTR-01,2026-08-05T07:30:00Z,54,Vegetation cleared; reinspect in 30 days,"{""drainage"":""clear"",""structural_cracks"":""hairline"",""scour"":""none"",""safety_barrier"":""missing""}",Draft
INSP-1105,ASSET-205,USER-INS-01,2026-07-09T01:00:00Z,88,Scour at outlet; monitor after rain,"{""drainage"":""blocked"",""structural_cracks"":""hairline"",""scour"":""severe"",""safety_barrier"":""damaged""}",Completed
INSP-1106,ASSET-206,USER-CTR-01,2026-06-07T15:30:00Z,79,Routine inspection; no immediate action,"{""drainage"":""clear"",""structural_cracks"":""none"",""scour"":""severe"",""safety_barrier"":""intact""}",Completed
INSP-1107,ASSET-207,USER-CTR-01,2026-08-11T19:15:00Z,74,Vegetation cleared; reinspect in 30 days,"{""drainage"":""clear"",""structural_cracks"":""hairline"",""scour"":""severe"",""safety_barrier"":""damaged""}",Follow-up
INSP-1108,ASSET-208,USER-CTR-01,2026-06-06T21:30:00Z,61,Scour at outlet; monitor after rain,"{""drainage"":""partial_blocked"",""structural_cracks"":""none"",""scour"":""minor"",""safety_barrier"":""intact""}",Follow-up
INSP-1109,ASSET-209,USER-INS-01,2026-08-01T12:00:00Z,73,Barrier damage; contractor to quote,"{""drainage"":""clear"",""structural_cracks"":""none"",""scour"":""minor"",""safety_barrier"":""intact""}",Completed
INSP-1110,ASSET-210,USER-INS-01,2026-06-09T22:30:00Z,63,Partial blockage; schedule clean,"{""drainage"":""blocked"",""structural_cracks"":""none"",""scour"":""none"",""safety_barrier"":""missing""}",Completed
INSP-1111,ASSET-211,USER-CTR-01,2026-07-11T01:30:00Z,97,Partial blockage; schedule clean,"{""drainage"":""blocked"",""structural_cracks"":""none"",""scour"":""minor"",""safety_barrier"":""intact""}",Follow-up
INSP-1112,ASSET-212,USER-INS-01,2026-07-01T01:00:00Z,90,Routine inspection; no immediate action,"{""drainage"":""clear"",""structural_cracks"":""none"",""scour"":""minor"",""safety_barrier"":""intact""}",Completed
INSP-1113,ASSET-213,USER-CTR-01,2026-07-01T00:30:00Z,51,Partial blockage; schedule clean,"{""drainage"":""blocked"",""structural_cracks"":""hairline"",""scour"":""severe"",""safety_barrier"":""intact""}",Completed
INSP-1114,ASSET-214,USER-INS-01,2026-08-16T19:30:00Z,80,Joint sealant failed; fair condition,"{""drainage"":""clear"",""structural_cracks"":""hairline"",""scour"":""severe"",""safety_barrier"":""intact""}",Follow-up
INSP-1115,ASSET-215,USER-INS-01,2026-08-29T06:30:00Z,77,Vegetation cleared; reinspect in 30 days,"{""drainage"":""clear"",""structural_cracks"":""none"",""scour"":""minor"",""safety_barrier"":""damaged""}",Completed
INSP-1116,ASSET-216,USER-CTR-01,2026-08-23T23:45:00Z,52,Routine inspection; no immediate action,"{""drainage"":""partial_blocked"",""structural_cracks"":""wide"",""scour"":""none"",""safety_barrier"":""intact""}",Completed
INSP-1117,ASSET-217,USER-INS-01,2026-08-05T07:30:00Z,77,Joint sealant failed; fair condition,"{""drainage"":""blocked"",""structural_cracks"":""hairline"",""scour"":""none"",""safety_barrier"":""missing""}",Completed
INSP-1118,ASSET-218,USER-CTR-01,2026-08-13T16:45:00Z,62,Scour at outlet; monitor after rain,"{""drainage"":""partial_blocked"",""structural_cracks"":""hairline"",""scour"":""minor"",""safety_barrier"":""damaged""}",Completed
INSP-1119,ASSET-219,USER-INS-01,2026-08-13T03:30:00Z,90,Barrier damage; contractor to quote,"{""drainage"":""partial_blocked"",""structural_cracks"":""none"",""scour"":""severe"",""safety_barrier"":""damaged""}",Completed
INSP-1120,ASSET-220,USER-CTR-01,2026-06-17T04:45:00Z,54,Vegetation cleared; reinspect in 30 days,"{""drainage"":""blocked"",""structural_cracks"":""hairline"",""scour"":""none"",""safety_barrier"":""missing""}",Completed
INSP-1121,ASSET-221,USER-CTR-01,2026-06-22T03:45:00Z,70,Vegetation cleared; reinspect in 30 days,"{""drainage"":""partial_blocked"",""structural_cracks"":""wide"",""scour"":""none"",""safety_barrier"":""damaged""}",Completed
INSP-1122,ASSET-222,USER-CTR-01,2026-06-18T23:15:00Z,57,Vegetation cleared; reinspect in 30 days,"{""drainage"":""partial_blocked"",""structural_cracks"":""none"",""scour"":""none"",""safety_barrier"":""damaged""}",Draft
INSP-1123,ASSET-223,USER-INS-01,2026-06-20T21:30:00Z,84,Partial blockage; schedule clean,"{""drainage"":""partial_blocked"",""structural_cracks"":""wide"",""scour"":""severe"",""safety_barrier"":""missing""}",Completed
