id,action,entity_type,entity_id,timestamp,actor_id,prev_hash,current_hash,signature,notes
LGR-5015,create,site,SITE-010,2026-05-02T08:00:00Z,USER-MGR-01,sha256:7c1974d0c99c6ba265ce75f3cefc7fbe4c34b8909085eb308dd2788f5f457774,sha256:5a931f643b8408dfaec95e778bba45c53a362477480e0fef023e3aaadf3332af,sig:yVlSQ5LFj7iirzURBJXATmaKYoYVzCeSvM1f6UhCp6ijxVH3Zvannu+Fby2Sb4Lh0eFZaFeUdiymudkKF2ezDw==,Seed site
LGR-5016,create,site,SITE-011,2026-05-02T08:00:00Z,USER-MGR-01,sha256:5a931f643b8408dfaec95e778bba45c53a362477480e0fef023e3aaadf3332af,sha256:75ea1b8fc710ba3ccb2b7357514a8e99ab954834715c4f4a0d075b841076768d,sig:Pl031aQvglWL6dXPkUMoc0sujuL1LwaNtTo2lMxzUBFxKCF2+auCyW7kqcQWX1Rw8Cz6EzVRQU1qbVtF8uWwCg==,Seed site
LGR-5017,create,site,SITE-012,2026-05-02T08:00:00Z,USER-MGR-01,sha256:75ea1b8fc710ba3ccb2b7357514a8e99ab954834715c4f4a0d075b841076768d,sha256:4e0b0a11d735ccdf3e7114fa04a6ff64bddbb167384297e28a69f7e1e9425533,sig:JLWwNtDWcxpA+U/iaV71VU7hjNwozwDFW28ScwprC4a8g3VPioN6AW8VphHN0V1kQwPPMaIHx4EpALxO8/BsAg==,Seed site
LGR-5018,create,site,SITE-013,2026-05-02T08:00:00Z,USER-MGR-01,sha256:4e0b0a11d735ccdf3e7114fa04a6ff64bddbb167384297e28a69f7e1e9425533,sha256:8c4451ed80f28f090837941909378169ae55a34cb1cb516bfa3b9aaee743bc5e,sig:aS++wkkRcSrGkYewMASIvRN77n2tklmIjeYtNFCSR8T27AzTLhoqdnb+QbiW9dvngIijOlLxQJ+GYx/aU10TBQ==,Seed site
LGR-5019,create,site,SITE-014,2026-05-02T08:00:00Z,USER-MGR-01,sha256:8c4451ed80f28f090837941909378169ae55a34cb1cb516bfa3b9aaee743bc5e,sha256:d4e18483537f7d61f11c1366644a3d0b4d1e29b38565c564c1a4a2e6b2e8bd56,sig:2VUSjq8DjH/X/LhsbtPa7zqQDYp27bvhqY7CqzLsyj1W80fmC9eGgrlncO3dEgEDpM0QtvVTPY968MtvMNp2Aw==,Seed site
LGR-5020,create,site,SITE-015,2026-05-02T08:00:00Z,USER-MGR-01,sha256:d4e18483537f7d61f11c1366644a3d0b4d1e29b38565c564c1a4a2e6b2e8bd56,sha256:7a879192af273672d61f5b3e0198583ac93a0dec6360df8b01e923cbc782c2dd,sig:iO7w2rPjaDaVnllFOKP31FhioG4XzT4H7VNsZp9Cgd6hIkC8fosX55Bm30psElrVTOoN2D8qJsqfUKabk4GtAQ==,Seed site
LGR-5021,create,site,SITE-016,2026-05-02T08:00:00Z,USER-MGR-01,sha256:7a879192af273672d61f5b3e0198583ac93a0dec6360df8b01e923cbc782c2dd,sha256:b13f4186f1bba75a1e898a2d8039a57fe83099074490402234b7c43e4fe9bd0f,sig:3+2j/2r0xWJTZxp1E082HO09AlXm91NK2hM2sflqo6TTfDFSjIWdeBRiY96wn0yeQnj5asT7/UIL+27IpatpBg==,Seed site
LGR-5022,create,site,SITE-017,2026-05-02T08:00:00Z,USER-MGR-01,sha256:b13f4186f1bba75a1e898a2d8039a57fe83099074490402234b7c43e4fe9bd0f,sha256:5f615491ab8a304a8d11ce8b1c9371af56a3b3d3369447a9ff51f3f4fa034ae8,sig:upbgsmGxeez3Me1jjEsFHuByIpqlkW2kKhZXMslFcTcNl1JrxNTcUfRACACwv1ffiiwt65aEN+u3q4ScdgLkCw==,Seed site
LGR-5023,create,site,SITE-018,2026-05-02T08:00:00Z,USER-MGR-01,sha256:5f615491ab8a304a8d11ce8b1c9371af56a3b3d3369447a9ff51f3f4fa034ae8,sha256:9eb01aff7b349547a20892daa6a05a981f457332dc0fd46d771799e679e2fcb0,sig:XORlYTG6QXOpbXSNwF/rqFZ+AwIADX4XmZ1iqt5tks76iOwNDeuO3PKhedsrWcoShu4heSe+sKA10ZhMEebGCQ==,Seed site
LGR-5024,create,site,SITE-019,2026-05-02T08:00:00Z,USER-MGR-01,sha256:9eb01aff7b349547a20892daa6a05a981f457332dc0fd46d771799e679e2fcb0,sha256:09ead7e24172cacb90432a7edb11a1eb577322a69960b9f603705be9e489026a,sig:UzW6lDpN+8jBk609hg0WeGP4IA8nKj4rp0piENCnWc7OvqQ5DqxP3Bt0g74u4zEEj7/YY2tFFCCNZITcwpxiDw==,Seed site
LGR-5025,create,site,SITE-020,2026-05-02T08:00:00Z,USER-MGR-01,sha256:09ead7e24172cacb90432a7edb11a1eb577322a69960b9f603705be9e489026a,sha256:5666ab2ed92f30120719cce67991986d61e7bf210f1c1fac2b14a4fb2d439cc7,sig:NsXwfe5fw1bMAd+0XDKzA5cBF9yd2xZ5PwU5jpAlcPKTuIEqQPXzAmkZlHaK9XJeDqifrkuOmrDjsrTnaFNGAQ==,Seed site
LGR-5026,create,asset,ASSET-201,2026-05-03T08:00:00Z,USER-MGR-01,sha256:5666ab2ed92f30120719cce67991986d61e7bf210f1c1fac2b14a4fb2d439cc7,sha256:7d5e8f665af3b7b2ea265ac8c7a1de98c5648f480ad29f375144956e0cf9bed1,sig:qomtckVJgIRydjnLUiAtZQEOsEejrxkHoCso/yqUrcAnUKyicwoOL98F17jr7o4HXLaTvL7Cm74sJJAWa2inBA==,Seed asset
LGR-5027,create,asset,ASSET-202,2026-05-03T08:00:00Z,USER-MGR-01,sha256:7d5e8f665af3b7b2ea265ac8c7a1de98c5648f480ad29f375144956e0cf9bed1,sha256:4b40d5a69712401fd88c168c1e1ea3cdd49bb16264ede00c2d6f309f130ceec9,sig:+Pp1BYc+zLTYJQIruLEFvkdght7wAGat9u/jjRJqjOrRlM96XzpvXqI1gv3cKdzzdaHSwIKVW2J29JKKAHtNCg==,Seed asset
LGR-5028,create,asset,ASSET-203,2026-05-03T08:00:00Z,USER-MGR-01,sha256:4b40d5a69712401fd88c168c1e1ea3cdd49bb16264ede00c2d6f309f130ceec9,sha256:cf505273683719837d020784b0173b1fd90eb422a646226f9d1abbd47a3e19f3,sig:CpUWAgdJutvdXqD2WEdSjv2lBoDPW/sZqUlURBQfCwIOczh5qTXPlk6qR2TLj5ohVjsNnGUrB6y+YLeQAtq9Cw==,Seed asset
LGR-5029,create,asset,ASSET-204,2026-05-03T08:00:00Z,USER-MGR-01,sha256:cf505273683719837d020784b0173b1fd90eb422a646226f9d1abbd47a3e19f3,sha256:9ee617ef564fd1b2dfb267de7a6061be770a40e5f580973a99e8f3ec9faadc46,sig:oLu25yFcYKChdYTTKYuyFq4Hptj8Y4bseuTnrMRcKa8TQmESIStgnTcN61cNzA2PZKmAwMfjcbbqntbrihW9Bw==,Seed asset
LGR-5030,create,asset,ASSET-205,2026-05-03T08:00:00Z,USER-MGR-01,sha256:9ee617ef564fd1b2dfb267de7a6061be770a40e5f580973a99e8f3ec9faadc46,sha256:c6e016253cebf93ad54c8028c53d0302d96777a091203c4e858612476e7cb819,sig:QgVUOsFzjxWKAwHle9n210WcxDLIY1hHLXeqf2Tdbm4me1E7cv8uOCMrRN308ctGOqQdW6Ys3XyLAAo761PvCA==,Seed asset
LGR-5031,create,asset,ASSET-206,2026-05-03T08:00:00Z,USER-MGR-01,sha256:c6e016253cebf93ad54c8028c53d0302d96777a091203c4e858612476e7cb819,sha256:5904f69a3bedcebc259254ba467416083ecb3516eb3e4e515243944c4e79a40c,sig:9D0zWhSoZKemC/2sL5JQuY5Qz05za3xL1tsc3Fob/9r3pnfDLiE3Xvl19+/DQz0QHriwadx8n0NJx6fUBQxCBQ==,Seed asset
LGR-5032,create,asset,ASSET-207,2026-05-03T08:00:00Z,USER-MGR-01,sha256:5904f69a3bedcebc259254ba467416083ecb3516eb3e4e515243944c4e79a40c,sha256:c67ae8cc4a3cdf0f7ccd1e047f5f6e04cc5d3db51d31a0806b370a759fa575e4,sig:JdUz+9fkhfY+uMDWMpiHbTC0rKyvg6/CwgGF5ClQ8pjOcXjC0AeNj9QPEgWiaqn74JCmPiMsk0nCCLaIVfACBg==,Seed asset
LGR-5033,create,asset,ASSET-208,2026-05-03T08:00:00Z,USER-MGR-01,sha256:c67ae8cc4a3cdf0f7ccd1e047f5f6e04cc5d3db51d31a0806b370a759fa575e4,sha256:ce5108586b5edc6e42b5997c7311bf8a00a36be8d0ca3cfbff254a6361a2fc01,sig:yjpKtrp1S4V4nFVHnCvj04Wbh8/Ce8FYarg7CzAXtppSuOiouETg/mAa+s/yZdiUEv/Y5DENLstIzMfx1zT8Dw==,Seed asset
LGR-5034,create,asset,ASSET-209,2026-05-03T08:00:00Z,USER-MGR-01,sha256:ce5108586b5edc6e42b5997c7311bf8a00a36be8d0ca3cfbff254a6361a2fc01,sha256:b52e9113561cdc7970f4ce80901da249232a1719456d2955bd4c7aa58365baef,sig:0Dprryq7zCMDQT5q7MnGZHkW8kaJj2kPFPic3WJKgytpVqKniUomxxF3+YggDVD1Ha3alMbNoUAw9KdixwY1Dw==,Seed asset
LGR-5035,create,asset,ASSET-210,2026-05-03T08:00:00Z,USER-MGR-01,sha256:b52e9113561cdc7970f4ce80901da249232a1719456d2955bd4c7aa58365baef,sha256:883345189d3b39297c171a6338ee7931efd8dac16c5532229521729a9e120908,sig:rGt1QyjNoKVwR5+GjXNqrp4EBuaZCcDPtqk78fZu6AQKOCECW5sZjmWxozBADTH/uWJmT4qPtXiW4A4Dk/VPAQ==,Seed asset
LGR-5036,create,asset,ASSET-211,2026-05-03T08:00:00Z,USER-MGR-01,sha256:883345189d3b39297c171a6338ee7931efd8dac16c5532229521729a9e120908,sha256:438847fa17feee3ea45b95113782c9f11fa4fde527376047b2f3a3d025249e65,sig:PAk4GuSW1YxtuWkYuBZeL3+qmA8PUd1I6anxLv6GVi1jdEylCY1w/S26NtUlkHxE0VNo8Ex1fwfHtXM+sQQ9AQ==,Seed asset
LGR-5037,create,asset,ASSET-212,2026-05-03T08:00:00Z,USER-MGR-01,sha256:438847fa17feee3ea45b95113782c9f11fa4fde527376047b2f3a3d025249e65,sha256:2b490393c974e9342d3307c029ad1608cab7363363faa56921a491befd02d15b,sig:m8t5hwldKELF+iFyUimsBwXS2gxRmlZhEPQnNBVk89bw2kr28c6HVYPPguB7hiX5ouMSznWY+RvTgGQmhZwTAA==,Seed asset
LGR-5038,create,asset,ASSET-213,2026-05-03T08:00:00Z,USER-MGR-01,sha256:2b490393c974e9342d3307c029ad1608cab7363363faa56921a491befd02d15b,sha256:68bc4f1f265d74a370c21741d5dea9d38810a93f7dbdc9644c256deddd1e676e,sig:mtj9Bq7jyaaWhxNofU4FTlB22IH8ataKf1XcqdLWXMipN1RWPZUaysv6vm4G0IRzRR1kQhEQFZsd29Sen+/IBg==,Seed asset
LGR-5039,create,asset,ASSET-214,2026-05-03T08:00:00Z,USER-MGR-01,sha256:68bc4f1f265d74a370c21741d5dea9d38810a93f7dbdc9644c256deddd1e676e,sha256:a78603bcb791e91aee82c69796ab328bd5e6861c9ec1550954edb74960ee1aa5,sig:vlqq8GqYZHViJw0nCeGbhwm9KWBDgLAWZT2mIST8J4tZgyg8919qRInB0gUIekpxpErkyGXyOWIdhR05f82mBw==,Seed asset
LGR-5040,create,asset,ASSET-215,2026-05-03T08:00:00Z,USER-MGR-01,sha256:a78603bcb791e91aee82c69796ab328bd5e6861c9ec1550954edb74960ee1aa5,sha256:57db42f344d7d6a936b6c19f33660087a2f8ffa0f4f8202c4a39056d0fa151c0,sig:Z6QJI3Vmg5j9BOcwt0OdR4ntAYKcc9ScGfp+dfFF0oGZneRzVAOEij5SA7SowpJSrePrPyrgQeLjJpkItWQgCA==,Seed asset
LGR-5041,create,asset,ASSET-216,2026-05-03T08:00:00Z,USER-MGR-01,sha256:57db42f344d7d6a936b6c19f33660087a2f8ffa0f4f8202c4a39056d0fa151c0,sha256:2d5c3ecf4fe0c2a7dd4d03e19899b71979a4f8209a3909ec8c1612c76a23fbbb,sig:W2oZjYTn56WEZPm0PqqtkYY6Xne02x7eVZxHdF2Um0+P6e5cFrC8/+qqmGzPo3QZlZPTjOfJo7oUWdUkHK7ZDQ==,Seed asset
LGR-5042,create,asset,ASSET-217,2026-05-03T08:00:00Z,USER-MGR-01,sha256:2d5c3ecf4fe0c2a7dd4d03e19899b71979a4f8209a3909ec8c1612c76a23fbbb,sha256:9dc3e8b71c413ff4cee97e55f7224d49d6925b25c7bdb439c9f3564b3488a972,sig:A2BrjwBYNnxvjizYCQrBjvJwRwYi8XoysuBtwJUvUP+XoJp1Uhsd9DPYgzPf/K8PPiLTlqApvltz20rg74SgBg==,Seed asset
LGR-5043,create,asset,ASSET-218,2026-05-03T08:00:00Z,USER-MGR-01,sha256:9dc3e8b71c413ff4cee97e55f7224d49d6925b25c7bdb439c9f3564b3488a972,sha256:f0830ddcd3395e85e0af4caa7bd372a6f0d716bf07c31280208f9b261491daef,sig:YGOiLV0cqg73ErgV6UYcjBVuljSnkxPWYG7d2sR766Tiv1+krQJN/qLswFtqLhrl2nrHiqkj2JmX6BG9TAHsBw==,Seed asset
LGR-5044,create,asset,ASSET-219,2026-05-03T08:00:00Z,USER-MGR-01,sha256:f0830ddcd3395e85e0af4caa7bd372a6f0d716bf07c31280208f9b261491daef,sha256:d76e861c00b6c0c10274cb6ee2c4afcb4d1e2ad9c1842ca5e870f9512f552ad2,sig:qnMEwRSf0AgGyWBIgiJEZoG83J+jtj/4jkHIdbxGlJIgvzZ09S3OvSEF8Vg5TCUNAsJfOGoN8Tq5ZA7Q2g+nBw==,Seed asset
LGR-5045,create,asset,ASSET-220,2026-05-03T08:00:00Z,USER-MGR-01,sha256:d76e861c00b6c0c10274cb6ee2c4afcb4d1e2ad9c1842ca5e870f9512f552ad2,sha256:452da3bb560a13a9fcd539ca3ba53155c5b5e04ffc3562a2b045dd6faeea474f,sig:ovmeI023FrRi6c9XtqFIC/4sxCGsUuPB7TV5NQxIKIik5t0lCZhgUWtZ6Xf1aVefS1WR+JHN2Hb2ZJiC4d1iCQ==,Seed asset
LGR-5046,create,asset,ASSET-221,2026-05-03T08:00:00Z,USER-MGR-01,sha256:452da3bb560a13a9fcd539ca3ba53155c5b5e04ffc3562a2b045dd6faeea474f,sha256:c5a7ba77131ab321a5223aca3a1ee3d9494e6b3524d79b10afa11bb9657f8195,sig:m25s97/IgsARPlPG1NV5uCJy1l307cbmAjQob0B6thzXhALFQgk8noG5CV1Rfpr1acQNm1XmJoUKEpTegKRRCw==,Seed asset
LGR-5047,create,asset,ASSET-222,2026-05-03T08:00:00Z,USER-MGR-01,sha256:c5a7ba77131ab321a5223aca3a1ee3d9494e6b3524d79b10afa11bb9657f8195,sha256:1fca9b2dd2446aa25ae66110dbca6585a5c487f043178ad8888fcb819d90afd9,sig:SvnOswmHTJZ0aJqoblaZTvKJwhBeIZ/0Q4V3BIHbbR1VwcnCDBhc7vK/Xq0/k18HBTXGyAjeTgjZs4KLZlTQCA==,Seed asset
LGR-5048,create,asset,ASSET-223,2026-05-03T08:00:00Z,USER-MGR-01,sha256:1fca9b2dd2446aa25ae66110dbca6585a5c487f043178ad8888fcb819d90afd9,sha256:e428eb48d78c5e2d2d83deabc3c72c23815202e1f262bf918ee9157744c734df,sig:w5q6nIL4oyPEGJkLYVunOB5QtgNLkPhhTJQjM1YXJDQMRKxtIkKEkFbPyRDPNSd/s/4mOj+OhjHYzGr743USAg==,Seed asset
LGR-5049,create,asset,ASSET-224,2026-05-03T08:00:00Z,USER-MGR-01,sha256:e428eb48d78c5e2d2d83deabc3c72c23815202e1f262bf918ee9157744c734df,sha256:a8a3b9b2c86e6906a33b9a69c59c50372776aa5dc9db6f2151628cbe59d7b423,sig:EgdsHW04VirHlNjNxa68f4JZTQ/lnJxKMJIeOFGL2ixFcM3j9O93HyRsuwAZ6FwCU1e0Xm+1yFmIokTiq5j9CQ==,Seed asset
LGR-5050,create,asset,ASSET-225,2026-05-03T08:00:00Z,USER-MGR-01,sha256:a8a3b9b2c86e6906a33b9a69c59c50372776aa5dc9db6f2151628cbe59d7b423,sha256:871ce1068b986f1c4a93708fd5e3111293c2463b0748df6abbaede41d24b6352,sig:ReYMjfBGK9l8Mk+B/IrG9xbl/ubwwOcfqPwh6gIMreKbJulGk0FmJMspg6CnJmOAoTqfwXwI5K9efvFmylooAg==,Seed asset
LGR-5051,create,asset,ASSET-226,2026-05-03T08:00:00Z,USER-MGR-01,sha256:871ce1068b986f1c4a93708fd5e3111293c2463b0748df6abbaede41d24b6352,sha256:f9f8311710a1c8744846b3117f34e0c730704a6802e33b602d1bcc03acbd8e97,sig:4mEkERy4mbMxdzJqmE8ee4QT8f10Wca54l4qADCHm9YwDWSrO6bq9C3oT0Sd7L+oGHWsz4l3hvsplcX4ldnHBw==,Seed asset
LGR-5052,create,asset,ASSET-227,2026-05-03T08:00:00Z,USER-MGR-01,sha256:f9f8311710a1c8744846b3117f34e0c730704a6802e33b602d1bcc03acbd8e97,sha256:86b9f3d3d4b14a000f4bf28104ce29c8373f67b14ff46ef6866a48a3560c1e63,sig:piNIfCvKQTA5SUHHFS+OE55np39kBgOtb0xuEeWtE3o91Hl7D7GY5wUPENE/EiQtIydWj1BAgzTl3mZV1MfNAw==,Seed asset
LGR-5053,create,asset,ASSET-228,2026-05-03T08:00:00Z,USER-MGR-01,sha256:86b9f3d3d4b14a000f4bf28104ce29c8373f67b14ff46ef6866a48a3560c1e63,sha256:5e36fe6b693b24fda6ab3df4283aecc0a2e7beaf799b120d3cdb4722b9bb0eab,sig:jo/B5ubHJCYk0sLBgF7vjkAKqK9yktpVou8vyOjgF9Mtt9CezUpnBq0AfKqzRjvpJhhX3OJ7spFOPWAWxNYGBA==,Seed asset
LGR-5054,create,asset,ASSET-229,2026-05-03T08:00:00Z,USER-MGR-01,sha256:5e36fe6b693b24fda6ab3df4283aecc0a2e7beaf799b120d3cdb4722b9bb0eab,sha256:1de1bdcd9f9bf48756ccee8c2d80593b973d214df26fefa86a18ae61e4283271,sig:7+Uy4f+PHgPhY5YjDmYjX+U5u9oGZXFAl9h4Gmihx5+ceCenTWoBxOjugX/USdBUw/m2hV1/kuQUfOu4Wn6CCw==,Seed asset
LGR-5055,create,asset,ASSET-230,2026-05-03T08:00:00Z,USER-MGR-01,sha256:1de1bdcd9f9bf48756ccee8c2d80593b973d214df26fefa86a18ae61e4283271,sha256:9c9070b856515ccf90931b11daed142e8453c9c12e3e570ab4501ca6ff58e428,sig:ZZVS5XCS9Zr4VWS5DOiIPmkqL+sCoDfd63OdDvbtXsQpExs9K+eJKWdQIPn/VjCuD8vXa/BZCb5kxiK3evzDDw==,Seed asset
LGR-5056,create,asset,ASSET-231,2026-05-03T08:00:00Z,USER-MGR-01,sha256:9c9070b856515ccf90931b11daed142e8453c9c12e3e570ab4501ca6ff58e428,sha256:ec3eee50bf58c0c7eddad054f10894679f5da230c2d6bf4bbc04bbf4c2b643fa,sig:/Znb5SzTKSXVBzsYxwmvW6E5Q79yIu1jkHDqXcQZTjF35EjqIr+SMgZGO7ia+TDpmbmiXHqmua0SR4mDVaK3Cw==,Seed asset
LGR-5057,create,asset,ASSET-232,2026-05-03T08:00:00Z,USER-MGR-01,sha256:ec3eee50bf58c0c7eddad054f10894679f5da230c2d6bf4bbc04bbf4c2b643fa,sha256:43089c580d762ef94dd13ad257ab2a01d5e5d9cdfa02604df74f690dc87e08f8,sig:Tsfx0U57BYbxqO5iFilT8sarfyZo4FPpn3tFbDSeIsy3rXZxRyPQyzYVR2wtvALSY9FYrYWRyKW7e7AfErA/AQ==,Seed asset
LGR-5058,create,asset,ASSET-233,2026-05-03T08:00:00Z,USER-MGR-01,sha256:43089c580d762ef94dd13ad257ab2a01d5e5d9cdfa02604df74f690dc87e08f8,sha256:5cfd83083b60096df2323f6692521e63607f86cf02985283defcbd54bb4b0918,sig:cdob8nCqChTD3Kn4xpkmgzobQrgWpT0+aNlrlDaM3X0iIzJKjFO615u9oHXHTR6viBhZCTcOPDfuAmPQPjTpBw==,Seed asset
LGR-5059,create,asset,ASSET-234,2026-05-03T08:00:00Z,USER-MGR-01,sha256:5cfd83083b60096df2323f6692521e63607f86cf02985283defcbd54bb4b0918,sha256:f20e297eccf15df0bc2d33cd67a18fb3172055a8a461f3e72054f0839ed30b27,sig:pvu6Fg1QMYYMqbOX20qkxoObY9WJSjG+UvNPeT97p4Xj1ryYJMJN7aoUhMeQgWyIoy4vsLiyBduV/wMKmc0FCQ==,Seed asset
LGR-5060,create,asset,ASSET-235,2026-05-03T08:00:00Z,USER-MGR-01,sha256:f20e297eccf15df0bc2d33cd67a18fb3172055a8a461f3e72054f0839ed30b27,sha256:3ec8c5ae48510323ff3557fd7ab6ad7daad27823ca3f06435de797d3194a13a1,sig:ZYj1qwLLrQRhejMkg8MGF5Wj+8SMq6LL2wZa0dPzdTo/Q37g/fYhnie8uKCCthIQbk2gdMBQRl16ISiDOinCCg==,Seed asset
